MES,NACIONAL,EXTRANJERO
1/1/2022,837408,399735
2/1/2022,798354,392803
3/1/2022,864774,466072
4/1/2022,841510,493621
5/1/2022,909636,530395
6/1/2022,910725,516746
7/1/2022,1058547,584834
8/1/2022,1148473,617118
9/1/2022,1056601,565173
10/1/2022,1164253,620491
11/1/2022,1055358,589877
12/1/2022,1087811,593822
1/1/2023,1014406,558792
2/1/2023,935132,515613
3/1/2023,969934,566021
4/1/2023,968238,542981
5/1/2023,1080656,583847
6/1/2023,1047542,574045
7/1/2023,1192367,651789
8/1/2023,1252018,677211
9/1/2023,1135737,620188
10/1/2023,1179467,678441
11/1/2023,1125909,639805
12/1/2023,1212065,655297
1/1/2024,1201731,645103
2/1/2024,1108671,625387
3/1/2024,1117301,696186
4/1/2024,1112849,667830
5/1/2024,1215372,720231
6/1/2024,1164236,676941
7/1/2024,1314747,736967
8/1/2024,1380284,774152
9/1/2024,1282113,710910
10/1/2024,1342611,766131
11/1/2024,1232562,701427
12/1/2024,1248001,723561
1/1/2025,1287853,716071
2/1/2025,1132928,665279
3/1/2025,1227018,727315
4/1/2025,1209102,715330
5/1/2025,1283055,753556
6/1/2025,1181310,665431
7/1/2025,1387391,761843
8/1/2025,1425802,757890
9/1/2025,1252215,672664
10/1/2025,1295932,747174
