Fecha, pbyd
1/1/2019,15.35
2/1/2019,16.73
3/1/2019,15.77
4/1/2019,17.80
5/1/2019,15.30
6/1/2019,15.72
7/1/2019,16.43
8/1/2019,13.53
9/1/2019,13.05
10/1/2019,12.30
11/1/2019,12.38
12/1/2019,12.95
1/1/2020,13.70
2/1/2020,15.90
3/1/2020,13.50
4/1/2020,16.27
5/1/2020,14.50
6/1/2020,19.95
7/1/2020,24.68
8/1/2020,25.67
9/1/2020,40.47
10/1/2020,51.37
11/1/2020,60.70
12/1/2020,67.73
1/1/2021,79.13
2/1/2021,65.73
3/1/2021,54.97
4/1/2021,53.43
5/1/2021,60.00
6/1/2021,77.40
7/1/2021,79.67
8/1/2021,87.80
9/1/2021,81.00
10/1/2021,98.87
11/1/2021,102.13
12/1/2021,88.87
1/1/2022,73.80
2/1/2022,79.13
3/1/2022,74.80
4/1/2022,78.60
5/1/2022,93.33
6/1/2022,104.67
7/1/2022,95.20
8/1/2022,80.73
9/1/2022,64.80
10/1/2022,58.57
11/1/2022,63.83
12/1/2022,64.20
1/1/2023,81.67
2/1/2023,70.40
3/1/2023,76.60
4/1/2023,78.67
5/1/2023,78.80
6/1/2023,83.33
7/1/2023,91.87
8/1/2023,81.93
9/1/2023,80.67
10/1/2023,79.13
11/1/2023,70.00
12/1/2023,71.47
1/1/2024,58.10
2/1/2024,64.43
3/1/2024,67.20
4/1/2024,71.87
5/1/2024,73.20
6/1/2024,77.33
7/1/2024,76.00
8/1/2024,80.40
9/1/2024,94.60
10/1/2024,93.80
11/1/2024,84.53
12/1/2024,88.87
1/1/2025,91.00
2/1/2025,123.87
3/1/2025,130.93
4/1/2025,123.40
5/1/2025,130.93
6/1/2025,122.50
7/1/2025,115.40
8/1/2025,114.40
9/1/2025,110.20
10/1/2025,100.60
11/1/2025,97.50
12/1/2025,95.35
1/1/2026,99.20

