Fecha,ptesla
1/1/2019,20.47
2/1/2019,21.33
3/1/2019,18.66
4/1/2019,15.91
5/1/2019,12.34
6/1/2019,14.90
7/1/2019,16.11
8/1/2019,15.04
9/1/2019,16.06
10/1/2019,20.99
11/1/2019,22.00
12/1/2019,27.89
1/1/2020,43.37
2/1/2020,44.53
3/1/2020,34.93
4/1/2020,52.13
5/1/2020,55.67
6/1/2020,71.99
7/1/2020,95.38
8/1/2020,166.11
9/1/2020,143.00
10/1/2020,129.35
11/1/2020,189.20
12/1/2020,235.22
1/1/2021,264.51
2/1/2021,225.17
3/1/2021,222.64
4/1/2021,236.48
5/1/2021,208.41
6/1/2021,226.57
7/1/2021,229.07
8/1/2021,245.24
9/1/2021,258.49
10/1/2021,371.33
11/1/2021,381.59
12/1/2021,352.26
1/1/2022,312.24
2/1/2022,290.14
3/1/2022,359.20
4/1/2022,290.25
5/1/2022,252.75
6/1/2022,224.47
7/1/2022,297.15
8/1/2022,275.61
9/1/2022,265.25
10/1/2022,227.54
11/1/2022,194.70
12/1/2022,123.18
1/1/2023,173.22
2/1/2023,205.71
3/1/2023,207.46
4/1/2023,164.31
5/1/2023,203.93
6/1/2023,261.77
7/1/2023,267.43
8/1/2023,258.08
9/1/2023,250.22
10/1/2023,200.84
11/1/2023,240.08
12/1/2023,248.48
1/1/2024,187.29
2/1/2024,201.88
3/1/2024,175.79
4/1/2024,183.28
5/1/2024,178.08
6/1/2024,197.88
7/1/2024,232.07
8/1/2024,214.11
9/1/2024,261.63
10/1/2024,249.85
11/1/2024,345.16
12/1/2024,403.84
1/1/2025,404.60
2/1/2025,292.98
3/1/2025,259.16
4/1/2025,282.16
5/1/2025,346.46
6/1/2025,317.66
7/1/2025,308.27
8/1/2025,333.87
9/1/2025,444.72
10/1/2025,456.56
11/1/2025,430.17
12/1/2025,449.72
1/1/2026,454.08

