Fecha,TC
1/1/2019,3.344
2/1/2019,3.322
3/1/2019,3.304
4/1/2019,3.303
5/1/2019,3.334
6/1/2019,3.325
7/1/2019,3.290
8/1/2019,3.379
9/1/2019,3.357
10/1/2019,3.360
11/1/2019,3.373
12/1/2019,3.355
1/1/2020,3.328
2/1/2020,3.391
3/1/2020,3.493
4/1/2020,3.398
5/1/2020,3.422
6/1/2020,3.471
7/1/2020,3.517
8/1/2020,3.565
9/1/2020,3.556
10/1/2020,3.596
11/1/2020,3.609
12/1/2020,3.603
1/1/2021,3.625
2/1/2021,3.646
3/1/2021,3.709
4/1/2021,3.700
5/1/2021,3.775
6/1/2021,3.912
7/1/2021,3.942
8/1/2021,4.087
9/1/2021,4.108
10/1/2021,4.014
11/1/2021,4.020
12/1/2021,4.037
1/1/2022,3.888
2/1/2022,3.791
3/1/2022,3.739
4/1/2022,3.741
5/1/2022,3.757
6/1/2022,3.748
7/1/2022,3.903
8/1/2022,3.874
9/1/2022,3.899
10/1/2022,3.979
11/1/2022,3.877
12/1/2022,3.829
1/1/2023,3.834
2/1/2023,3.841
3/1/2023,3.779
4/1/2023,3.765
5/1/2023,3.689
6/1/2023,3.650
7/1/2023,3.601
8/1/2023,3.698
9/1/2023,3.731
10/1/2023,3.846
11/1/2023,3.761
12/1/2023,3.734
1/1/2024,3.741
2/1/2024,3.828
3/1/2024,3.709
4/1/2024,3.715
5/1/2024,3.732
6/1/2024,3.787
7/1/2024,3.764
8/1/2024,3.742
9/1/2024,3.769
10/1/2024,3.754
11/1/2024,3.779
12/1/2024,3.736
1/1/2025,3.747
2/1/2025,3.697
3/1/2025,3.652
4/1/2025,3.700
5/1/2025,3.660
6/1/2025,3.602
7/1/2025,3.557
8/1/2025,3.542
9/1/2025,3.502
10/1/2025,3.413
11/1/2025,3.373
