Fecha,TR
1/1/2019,2.75
2/1/2019,2.75
3/1/2019,2.75
4/1/2019,2.75
5/1/2019,2.75
6/1/2019,2.75
7/1/2019,2.75
8/1/2019,2.5
9/1/2019,2.5
10/1/2019,2.5
11/1/2019,2.25
12/1/2019,2.25
1/1/2020,2.25
2/1/2020,2.25
3/1/2020,1.25
4/1/2020,0.25
5/1/2020,0.25
6/1/2020,0.25
7/1/2020,0.25
8/1/2020,0.25
9/1/2020,0.25
10/1/2020,0.25
11/1/2020,0.25
12/1/2020,0.25
1/1/2021,0.25
2/1/2021,0.25
3/1/2021,0.25
4/1/2021,0.25
5/1/2021,0.25
6/1/2021,0.25
7/1/2021,0.25
8/1/2021,0.5
9/1/2021,1
10/1/2021,1.5
11/1/2021,2
12/1/2021,2.5
1/1/2022,3
2/1/2022,3.5
3/1/2022,4
4/1/2022,4.5
5/1/2022,5
6/1/2022,5.5
7/1/2022,6
8/1/2022,6.5
9/1/2022,6.75
10/1/2022,7
11/1/2022,7.25
12/1/2022,7.5
1/1/2023,7.75
2/1/2023,7.75
3/1/2023,7.75
4/1/2023,7.75
5/1/2023,7.75
6/1/2023,7.75
7/1/2023,7.75
8/1/2023,7.75
9/1/2023,7.5
10/1/2023,7.25
11/1/2023,7
12/1/2023,6.75
1/1/2024,6.5
2/1/2024,6.25
3/1/2024,6.25
4/1/2024,6
5/1/2024,5.75
6/1/2024,5.75
7/1/2024,5.75
8/1/2024,5.5
9/1/2024,5.25
10/1/2024,5.25
11/1/2024,5
12/1/2024,5
1/1/2025,4.75
2/1/2025,4.75
3/1/2025,4.75
4/1/2025,4.75
5/1/2025,4.5
6/1/2025,4.5
7/1/2025,4.5
8/1/2025,4.5
9/1/2025,4.25
10/1/2025,4.25
11/1/2025,4.25
